axis,donor_index,to1_index,to2_index,step,minimum_corner_weight,loss00,loss10,loss01,loss11,interaction_loss,complementarity_benefit,all_corners_training_hull_supported,is_empirical_complementarity_evidence
Q_A_topsis_0_1,0,4,8,0.001,0.0018750162325799108,2.3855781852659437,2.3854250056248842,2.3852908973656763,2.3851377177246174,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,4,9,0.00020603495184768006,0.001881909501381561,2.3855781852659437,2.3855466249059742,2.3846327538644347,2.3846011935044653,0.0,-0.0,True,False
Q_A_topsis_0_1,0,4,10,0.001,0.0018692726335182324,2.3855781852659437,2.3854250056248842,2.385252300352736,2.3850991207116765,0.0,-0.0,True,False
Q_A_topsis_0_1,0,4,11,0.001,0.001877397364901979,2.3855781852659437,2.3854250056248842,2.385446222744704,2.385293043103645,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,4,12,0.001,0.0018563537836717493,2.3855781852659437,2.3854250056248842,2.3832599002932566,2.383106720652197,0.0,-0.0,True,False
Q_A_topsis_0_1,0,4,13,0.001,0.0018464744353615247,2.3855781852659437,2.3854250056248842,2.384283486089201,2.384130306448141,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,4,14,0.001,0.0018230804198250438,2.3855781852659437,2.3854250056248842,2.3835569802044962,2.383403800563437,0.0,-0.0,True,False
Q_A_topsis_0_1,0,4,15,0.001,0.001874269547151095,2.3855781852659437,2.3854250056248842,2.38523977222687,2.38508659258581,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,4,16,0.001,0.0018766393229577548,2.3855781852659437,2.3854250056248842,2.3854495335266876,2.385296353885628,0.0,-0.0,True,False
Q_A_topsis_0_1,0,5,6,0.001,0.0018713610737502372,2.3855781852659437,2.3841764511955996,2.3858000151730048,2.384398281102661,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,5,7,0.0004744449616161041,0.0018557844740322708,2.3855781852659437,2.3849131395987433,2.3834947378479248,2.382829692180725,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,5,8,0.001,0.001868074659757338,2.3855781852659437,2.3841764511955996,2.3852908973656763,2.3838891632953327,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,5,9,0.00020478655080546646,0.0018770188157524184,2.3855781852659437,2.3852911289805316,2.384638482395135,2.384351426109723,0.0,-0.0,True,False
Q_A_topsis_0_1,0,5,10,0.001,0.0018649299879509285,2.3855781852659437,2.3841764511955996,2.385252300352736,2.3838505662823914,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,5,11,0.001,0.0018702477691830888,2.3855781852659437,2.3841764511955996,2.385446222744704,2.3840444886743604,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,5,12,0.001,0.001855669631317382,2.3855781852659437,2.3841764511955996,2.3832599002932566,2.3818581662229126,0.0,-0.0,True,False
Q_A_topsis_0_1,0,5,13,0.001,0.0018311820164108002,2.3855781852659437,2.3841764511955996,2.384283486089201,2.3828817520188568,0.0,-0.0,True,False
Q_A_topsis_0_1,0,5,14,0.0009219625080533301,0.0018274874229202607,2.3855781852659437,2.384285839006826,2.3837147099782015,2.3824223637190833,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,5,15,0.001,0.0018678631687342297,2.3855781852659437,2.3841764511955996,2.38523977222687,2.383838038156526,0.0,-0.0,True,False
Q_A_topsis_0_1,0,5,16,0.001,0.001869906911366887,2.3855781852659437,2.3841764511955996,2.3854495335266876,2.3840477994563436,0.0,-0.0,True,False
Q_A_topsis_0_1,0,6,7,0.00047602325031265136,0.0018554606610206887,2.3855781852659437,2.3856837814593193,2.3834878070513614,2.383593403244737,0.0,-0.0,True,False
Q_A_topsis_0_1,0,6,8,0.001,0.0018764129730472667,2.3855781852659437,2.3858000151730048,2.3852908973656763,2.3855127272727374,0.0,-0.0,True,False
Q_A_topsis_0_1,0,6,9,0.00020622065583120067,0.0018821718358111683,2.3855781852659437,2.385623931174861,2.3846319017256308,2.3846776476345477,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,6,10,0.001,0.0018731078529845868,2.3855781852659437,2.3858000151730048,2.385252300352736,2.385474130259797,0.0,-0.0,True,False
Q_A_topsis_0_1,0,6,11,0.001,0.0018785860824730176,2.3855781852659437,2.3858000151730048,2.385446222744704,2.3856680526517655,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,6,12,0.001,0.0018572038018526307,2.3855781852659437,2.3858000151730048,2.3832599002932566,2.3834817302003177,0.0,-0.0,True,False
Q_A_topsis_0_1,0,6,13,0.001,0.0018486213046482955,2.3855781852659437,2.3858000151730048,2.384283486089201,2.3845053159962615,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,6,14,0.001,0.0018301048744061535,2.3855781852659437,2.3858000151730048,2.3835569802044962,2.3837788101115573,0.0,-0.0,True,False
