Q0,cost_family,Lctx,budget_flops,feasible_grid_points,frontier_points,best_N_B,best_D_B,best_Q,best_loss,best_total_cost_flops,best_quality_cost_flops,best_base_train_attn_cost_flops,Q_on_lower_bound,Q_on_upper_bound
0.5,exponential,4096,1e+22,2427,165,11.965825,99.63563236812982,1.0,2.1178869562689053,8.511950427238097e+21,3.8194647782365096e+20,8.130003949414447e+21,False,True
0.5,exponential,4096,1e+24,2475,172,11.965825,299.893,1.0,2.0219298975598545,2.562009482756323e+22,1.1496195924241128e+21,2.447047523513912e+22,False,True
0.5,exponential,8192,1e+19,705,66,0.3058062134494701,3.6539259348445197,0.65,3.2806691573087816,9.606314891626711e+18,1.071218257526206e+18,8.535096634100506e+18,False,False
0.5,exponential,8192,1e+22,2419,167,11.965825,99.63563236812982,1.0,2.1178869562689053,9.488619132564281e+21,3.8194647782365096e+20,9.10667265474063e+21,False,True
0.5,exponential,8192,1e+24,2475,174,11.965825,299.893,1.0,2.0219298975598545,2.8559767122352347e+22,1.1496195924241128e+21,2.7410147529928236e+22,False,True
0.5,exponential,32768,1e+19,600,72,0.21193206564500142,3.6539259348445197,0.55,3.397899012743859,9.978072977131745e+18,2.567651023535418e+17,9.721307874778204e+18,False,False
0.5,exponential,32768,1e+22,2365,180,3.982848110223703,172.85840650016289,1.0,2.1632727580613644,9.305402692032998e+21,6.626410447319505e+20,8.642761647301048e+21,False,True
0.5,exponential,32768,1e+24,2475,191,11.965825,299.893,1.0,2.0219298975598545,4.6197800891087065e+22,1.1496195924241128e+21,4.504818129866295e+22,False,True
0.5,exponential,131072,1e+19,397,74,0.10178819256774098,2.1061238994135967,0.85,3.6322590491328675,9.937554497951148e+18,3.0314782964524467e+18,6.906076201498701e+18,False,False
0.5,exponential,131072,1e+22,2243,183,2.7602226182022083,99.63563236812982,1.0,2.254558073510372,9.241438854331468e+21,3.8194647782365096e+20,8.859492376507817e+21,False,True
0.5,exponential,131072,1e+24,2475,203,11.965825,299.893,1.0,2.0219298975598545,1.1674993596602594e+23,1.1496195924241128e+21,1.1560031637360182e+23,False,True
