task,branch,axis,model,fold,n,mae,rmse,r2,signed_error,spearman
B2,scale,none,affine,6,147,0.21858549757372298,0.3906523355567662,0.2829878595240629,-0.1713366673624238,0.9985029785876568
B2,scale,none,mean,0,147,0.4322257369614512,0.6325891494831065,-0.8756462921018533,-0.4322257369614512,
B2,scale,none,mean,1,147,0.2855171224952565,0.5098674800760616,-0.21904934608682702,-0.21613129251700638,
B2,scale,none,mean,2,147,0.2942619533527697,0.46617935196107657,-0.014545735954826222,-0.05581938775510201,
B2,scale,none,mean,3,147,0.33726759374951804,0.46874500746491427,-0.01845205919499504,0.06309410430839012,
B2,scale,none,mean,4,147,0.3788425239483546,0.4847043233518147,-0.10034603821049837,0.14637346938775472,
B2,scale,none,mean,5,147,0.42544366467675493,0.5154688268773056,-0.23518458796101505,0.22492664399092951,
B2,scale,none,mean,6,147,0.4527559805328025,0.5344370587520553,-0.3419575849935341,0.269782199546485,
B2,scale,none,offset,0,147,0.2650672938593898,0.39494296001498747,0.2689009498491679,-0.0008037594038432939,0.9973233092669779
B2,scale,none,offset,1,147,0.2659928228020523,0.39483378714975537,0.268969867259532,-0.0003514678859444171,0.9973176474145438
B2,scale,none,offset,2,147,0.26515635376396335,0.3958704995579215,0.2684031269725292,-0.002233531687333518,0.9982866913047646
B2,scale,none,offset,3,147,0.2672735953788847,0.39752046700338034,0.2675360272317564,0.00029728210808468937,0.9979173968404175
B2,scale,none,offset,4,147,0.26615142870088043,0.39511323794069975,0.26882950423833174,0.00046797233522813793,0.997671829101934
B2,scale,none,offset,5,147,0.26632795299532736,0.3968394469821646,0.26792306691866474,0.0007058971687045986,0.998265915785996
B2,scale,none,offset,6,147,0.26618946164189683,0.39438715105202427,0.2692123930941137,0.0019176073651030543,0.9985029785876568
B2,scale,none,raw,0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,raw,1,147,1.178743070680373,1.2431125542855472,-6.246487787535969,-1.178743070680373,0.9973176474145438
B2,scale,none,raw,2,147,1.1803562682244204,1.2449696316348924,-6.235742081796563,-1.1803562682244204,0.9982866913047646
B2,scale,none,raw,3,147,1.178186999256919,1.2434416104216381,-6.166680991018375,-1.178186999256919,0.9979173968404175
B2,scale,none,raw,4,147,1.1780406933479386,1.2425353624672297,-6.230910936525953,-1.1780406933479386,0.997671829101934
B2,scale,none,raw,5,147,1.1778367577763875,1.2428919809699837,-6.1811471073952164,-1.1778367577763875,0.998265915785996
B2,scale,none,raw,6,147,1.1767981490366177,1.2411250667329763,-6.237302961796413,-1.1767981490366177,0.9985029785876568
B2,scale,none,selected,0,147,0.2650672938593898,0.39494296001498747,0.2689009498491679,-0.0008037594038432939,0.9973233092669779
B2,scale,none,selected,1,147,0.2659928228020523,0.39483378714975537,0.268969867259532,-0.0003514678859444171,0.9973176474145438
B2,scale,none,selected,2,147,0.26515635376396335,0.3958704995579215,0.2684031269725292,-0.002233531687333518,0.9982866913047646
B2,scale,none,selected,3,147,0.2672735953788847,0.39752046700338034,0.2675360272317564,0.00029728210808468937,0.9979173968404175
B2,scale,none,selected,4,147,0.26615142870088043,0.39511323794069975,0.26882950423833174,0.00046797233522813793,0.997671829101934
B2,scale,none,selected,5,147,0.26632795299532736,0.3968394469821646,0.26792306691866474,0.0007058971687045986,0.998265915785996
B2,scale,none,selected,6,147,0.26618946164189683,0.39438715105202427,0.2692123930941137,0.0019176073651030543,0.9985029785876568
